"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
VIC,3440,"1,225","29,869","37,275","1,198","44,290","63,791","1,184","45,520","64,622","1,171","47,121","66,969","1,196","48,825","77,942",
VIC,3441,895,"34,199","50,272",848,"47,210","77,462",841,"49,120","79,683",846,"51,314","79,246",876,"54,946","84,370",
VIC,3442,"3,894","29,010","35,011","4,200","42,895","58,926","4,235","43,045","60,002","4,320","45,340","61,918","4,498","46,593","65,091",
VIC,3444,"4,642","26,120","31,004","5,129","37,346","49,176","5,217","37,993","48,356","5,257","39,524","51,115","5,374","40,320","52,308",
VIC,3446,414,"26,894","30,209",534,"33,693","40,364",562,"37,111","44,296",554,"37,175","46,126",608,"39,405","47,555",
VIC,3447,239,"22,686","25,795",260,"34,468","41,778",257,"34,946","42,958",258,"36,893","42,633",274,"35,579","42,368",
VIC,3448,474,"25,081","28,875",501,"32,399","43,342",515,"32,053","43,793",518,"33,687","43,956",506,"39,381","49,500",
VIC,3450,"4,147","23,860","29,298","4,012","35,417","42,649","3,990","34,940","42,816","4,018","35,803","44,228","3,961","35,698","44,682",
VIC,3451,"1,796","22,425","25,489","2,269","35,797","42,166","2,399","36,133","42,434","2,434","37,215","44,024","2,568","37,613","46,554",
VIC,3453,946,"22,603","29,020",965,"37,017","45,773","1,006","37,042","44,949",996,"38,035","45,956","1,013","40,934","49,874",
VIC,3458,920,"22,267","26,817","1,061","34,387","45,745","1,074","35,908","49,194","1,110","35,641","47,425","1,135","36,054","48,266",
VIC,3460,"1,722","21,373","27,175","1,583","33,161","44,670","1,639","33,961","44,745","1,656","33,656","44,695","1,651","35,516","48,089",
VIC,3461,"1,822","20,662","24,532","2,069","31,616","41,262","2,118","32,966","43,007","2,190","34,919","43,642","2,287","35,018","44,839",
VIC,3462,598,"20,505","24,616",636,"29,478","36,844",633,"32,603","41,223",620,"34,770","41,316",636,"36,768","43,391",
VIC,3463,"1,402","20,931","25,456","1,258","32,037","38,635","1,270","32,769","41,122","1,295","32,953","40,797","1,292","34,644","44,048",
VIC,3464,501,"23,224","24,977",560,"35,640","39,348",547,"32,725","37,599",555,"32,729","38,468",564,"33,236","39,313",
VIC,3465,"4,643","23,317","25,607","4,251","33,029","37,519","4,300","33,993","38,299","4,339","33,699","38,557","4,367","34,334","39,714",
VIC,3467,626,"22,321","24,599",597,"29,493","36,429",599,"33,055","37,552",590,"32,436","38,537",607,"35,204","38,677",
VIC,3472,681,"17,534","21,684",576,"27,866","33,114",599,"27,204","34,895",595,"27,819","33,161",597,"30,340","35,893",
VIC,3477,na,na,na,na,na,na,392,"28,444","35,139",400,"26,937","32,643",402,"32,185","37,167",
VIC,3478,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584",
VIC,3480,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315",
VIC,3483,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",
VIC,3490,867,"23,764","26,818",733,"29,998","36,511",697,"32,279","38,376",707,"33,381","38,537",698,"35,759","42,037",
VIC,3494,373,"23,890","22,792",324,"30,812","33,173",299,"35,307","36,974",326,"34,408","38,102",323,"31,778","36,663",
VIC,3496,"3,702","21,266","24,277","3,411","34,544","38,070","3,454","35,916","39,560","3,484","37,647","41,549","3,485","37,400","45,285",
VIC,3498,"2,518","22,749","25,719","2,481","37,238","44,022","2,502","38,093","45,426","2,639","37,960","46,752","2,743","38,773","46,940",
VIC,3500,"12,874","24,458","27,362","14,866","36,855","43,326","15,007","37,767","44,149","15,613","38,186","45,094","16,054","38,971","45,766",
VIC,3501,"2,169","23,263","27,064","2,156","37,627","44,635","2,135","38,931","45,749","2,051","40,552","48,035","2,018","41,507","49,036",
VIC,3502,na,na,na,na,na,na,na,na,na,na,na,na,"1,304","41,485","51,670",
VIC,3505,"2,543","21,409","24,832","2,383","34,466","39,184","2,415","35,102","40,505","2,534","36,216","41,598","2,562","37,403","42,503",
VIC,3512,260,"24,467","28,899",214,"33,602","37,170",212,"33,718","39,405",213,"33,819","40,764",215,"38,969","44,927",
VIC,3515,549,"24,775","27,231",930,"37,975","43,592","1,038","39,993","45,298","1,098","41,058","45,541","1,098","44,992","48,568",
VIC,3516,373,"25,802","26,401",368,"32,636","38,535",365,"34,222","41,332",388,"33,658","38,458",392,"36,443","42,919",
VIC,3517,740,"19,877","22,232",643,"32,266","36,292",643,"32,449","39,509",649,"30,624","36,909",653,"33,503","39,387",
VIC,3518,678,"18,563","21,565",615,"29,192","36,918",604,"28,553","33,609",606,"27,284","34,445",609,"29,644","37,283",
VIC,3521,279,"24,224","28,064",317,"38,009","42,725",326,"42,141","45,536",342,"41,834","47,015",358,"40,751","46,841",
VIC,3523,"1,518","19,891","24,610","1,514","31,915","40,279","1,560","34,020","41,403","1,630","33,466","42,008","1,662","34,762","43,484",
VIC,3525,898,"23,067","26,201",771,"29,594","34,613",763,"27,747","31,184",744,"28,901","32,129",735,"33,577","38,529",
VIC,3527,531,"20,983","22,909",427,"30,455","36,346",426,"25,334","23,687",412,"23,768","26,092",411,"30,488","38,670",
VIC,3533,510,"23,464","27,865",425,"35,026","41,814",419,"35,516","43,646",407,"33,731","40,425",397,"38,411","44,484",
VIC,3537,727,"23,195","26,998",616,"34,893","39,206",620,"34,420","40,164",586,"33,072","39,254",599,"33,436","39,608",
VIC,3546,332,"28,053","30,006",281,"32,900","39,409",264,"38,452","42,645",270,"34,078","39,531",260,"41,095","44,526",
VIC,3549,"2,359","19,831","22,012","2,052","31,651","38,596","1,914","34,215","40,041","1,994","36,209","44,444","1,955","37,311","48,051",
VIC,3550,"23,287","26,234","30,602","21,569","38,200","47,588","21,660","39,007","48,886","21,885","39,749","51,079","22,289","40,547","50,044",
VIC,3551,"10,582","26,705","30,611","15,977","41,236","49,646","16,652","42,474","51,334","17,302","43,219","51,707","18,119","44,259","52,451",
VIC,3552,na,na,na,na,na,na,na,na,na,na,na,na,281,"45,282","63,206",
VIC,3555,"9,199","25,437","27,746","9,893","37,731","42,220","10,000","38,890","44,515","10,281","38,852","45,529","10,438","39,931","45,044",
VIC,3556,"5,633","24,151","25,888","6,068","36,239","40,716","6,258","37,548","41,501","6,423","38,038","42,367","6,670","38,893","42,942",
VIC,3557,382,"26,363","28,725",386,"37,749","43,618",416,"37,234","43,684",423,"40,076","45,301",434,"38,350","45,982",
VIC,3558,531,"23,239","26,686",490,"31,593","39,180",506,"34,023","41,776",502,"33,153","38,637",503,"34,508","42,147",
VIC,3559,288,"21,066","22,599",294,"26,944","35,321",297,"34,392","44,715",289,"29,473","35,063",293,"33,334","42,086",
VIC,3561,"2,827","22,992","26,130","2,488","35,003","42,500","2,480","37,010","44,207","2,518","33,938","41,177","2,544","36,673","41,251",
VIC,3563,440,"20,503","21,857",441,"32,748","38,115",437,"34,317","36,159",443,"30,968","34,525",448,"31,992","35,843",
VIC,3564,"8,754","25,340","29,215","9,206","36,897","44,463","9,269","38,546","46,093","9,436","39,025","46,133","9,549","39,600","46,983",
VIC,3566,328,"19,803","22,414",296,"36,548","41,022",305,"33,956","39,802",289,"34,660","40,280",302,"34,902","40,290",
VIC,3567,507,"19,605","22,328",388,"34,762","38,594",387,"37,272","40,056",392,"33,203","35,553",383,"31,951","34,321",
VIC,3568,"1,797","22,425","24,975","1,544","35,419","41,445","1,543","35,087","41,516","1,547","35,027","44,769","1,526","35,041","43,957",
VIC,3570,422,"26,643","28,443",383,"35,663","41,650",389,"37,362","43,721",404,"37,055","41,746",398,"39,361","43,992",
VIC,3573,246,"18,232","18,115",206,"29,949","35,692",210,"35,412","38,318",201,"32,752","34,653",na,na,na,
VIC,3575,502,"20,624","22,152",455,"29,504","34,838",441,"33,570","37,737",448,"29,804","34,342",440,"35,426","39,389",
VIC,3579,"3,440","20,758","23,415","2,925","31,692","36,388","2,937","33,020","37,652","2,912","32,640","37,413","2,869","34,196","37,719",
VIC,3580,550,"21,118","22,997",515,"33,388","35,651",526,"32,552","37,041",561,"33,285","36,748",561,"33,288","35,460",
VIC,3584,671,"21,370","23,943",570,"33,436","38,148",575,"35,845","40,572",574,"37,079","40,391",575,"35,544","39,486",
VIC,3585,"6,868","25,042","28,606","6,833","37,543","44,874","6,891","37,734","43,810","6,872","38,442","44,657","6,988","39,111","45,965",
VIC,3586,na,na,na,na,na,na,240,"33,726","37,243",241,"31,424","38,038",267,"37,639","43,876",
VIC,3590,241,"23,421","24,985",204,"30,305","36,898",na,na,na,na,na,na,na,na,na,
VIC,3594,367,"21,280","23,204",326,"28,682","33,895",355,"29,327","34,671",345,"30,990","35,166",327,"36,616","38,083",
VIC,3595,371,"19,910","22,346",307,"32,150","34,349",299,"30,594","35,518",313,"31,987","35,093",315,"30,771","35,872",
VIC,3597,295,"27,698","29,981",251,"39,295","43,236",235,"41,406","45,642",229,"38,666","45,973",231,"42,966","54,175",
VIC,3608,"1,184","24,511","27,113","1,273","35,764","42,323","1,304","37,433","46,377","1,348","38,021","44,480","1,364","40,514","46,899",
VIC,3610,872,"21,853","24,592",783,"31,262","37,536",762,"35,394","41,454",754,"33,754","38,513",758,"34,810","40,343",
VIC,3612,895,"21,751","25,618",797,"32,050","38,118",790,"33,594","39,991",835,"33,594","40,255",833,"36,131","41,700",
VIC,3614,550,"24,838","28,207",553,"39,573","46,758",553,"41,069","48,796",559,"38,774","46,833",555,"40,155","47,396",
VIC,3616,"3,133","24,755","28,436","2,993","36,097","43,722","3,027","37,174","43,719","3,064","37,518","43,059","3,075","38,863","45,334",
VIC,3618,436,"21,576","22,575",405,"30,726","34,686",400,"31,642","35,274",407,"32,215","35,134",388,"32,245","35,385",
VIC,3620,"4,613","24,674","28,567","4,272","34,414","40,345","4,331","35,608","41,379","4,407","36,080","41,314","4,404","36,876","42,182",
VIC,3621,"1,354","23,279","26,156","1,240","33,460","37,345","1,241","33,642","37,462","1,289","32,794","35,677","1,261","34,828","38,028",
VIC,3622,225,"17,840","23,841",213,"34,543","39,985",233,"31,277","37,487",225,"32,170","33,553",221,"30,666","33,121",
VIC,3623,659,"20,332","22,720",549,"30,563","35,935",546,"29,754","36,678",528,"27,797","34,734",507,"30,848","36,906",
VIC,3624,339,"22,853","26,181",276,"30,235","34,008",283,"33,221","35,790",278,"32,881","35,017",295,"30,674","33,610",
VIC,3629,"5,101","24,853","26,950","4,785","36,033","38,707","4,859","36,242","39,334","4,939","37,239","41,653","4,904","37,703","42,811",
VIC,3630,"17,040","25,304","29,373","16,368","36,037","43,330","16,588","36,861","44,063","16,663","37,278","44,368","16,653","37,734","45,043",
VIC,3631,"4,285","25,310","30,560","6,192","38,054","47,826","6,460","39,031","48,131","6,824","39,916","49,355","7,018","41,109","50,508",
VIC,3632,na,na,na,na,na,na,na,na,na,na,na,na,341,"39,852","46,780",
VIC,3633,469,"24,816","27,049",424,"33,782","39,828",420,"38,167","42,965",424,"36,422","44,786",436,"36,317","42,990",
VIC,3634,"1,307","21,773","22,831","1,162","35,261","39,390","1,128","35,068","39,135","1,136","36,469","40,186","1,156","35,828","39,582",
VIC,3635,310,"22,217","24,610",284,"31,507","35,224",287,"32,692","35,737",317,"33,226","35,483",302,"36,824","39,282",
VIC,3636,"2,980","23,307","24,941","2,855","35,339","39,351","2,852","36,143","42,366","2,912","36,321","40,225","2,876","36,933","40,849",
VIC,3637,257,"18,997","20,472",292,"30,851","34,235",308,"30,970","34,475",320,"29,436","30,433",330,"31,586","32,008",
VIC,3638,"1,307","20,913","23,543","1,110","33,568","40,107","1,127","34,644","41,819","1,146","33,984","41,211","1,122","35,124","41,544",
VIC,3639,331,"19,976","22,944",315,"30,839","34,869",308,"30,192","36,020",308,"33,120","35,263",317,"33,869","34,507",
VIC,3640,625,"20,950","21,394",577,"30,669","37,376",589,"29,722","38,733",632,"28,564","35,371",633,"30,703","34,397",
VIC,3641,738,"24,621","25,635",638,"36,483","40,206",671,"36,817","41,765",689,"35,677","39,849",695,"38,001","42,064",
VIC,3644,"4,920","24,506","27,710","4,745","35,546","41,671","4,648","37,303","43,183","4,768","38,039","44,717","4,861","38,656","45,217",
VIC,3646,330,"23,965","27,533",341,"33,400","38,590",351,"35,396","40,126",352,"31,898","38,569",358,"36,015","42,932",
VIC,3649,320,"21,538","24,506",253,"29,030","35,892",262,"31,862","37,187",254,"30,435","35,988",265,"28,958","32,958",
VIC,3658,"2,979","26,987","30,766","3,128","39,046","45,660","3,181","40,031","47,499","3,277","40,725","48,297","3,314","42,659","49,991",
VIC,3659,355,"25,896","33,932",363,"37,355","59,848",389,"36,439","51,246",380,"38,886","48,959",417,"43,722","57,480",
VIC,3660,"4,019","25,069","28,089","3,701","37,028","43,679","3,736","37,856","44,085","3,794","38,340","44,570","3,828","38,602","45,705",
VIC,3662,744,"41,726","36,896",512,"62,836","58,281",468,"63,560","59,864",478,"66,972","60,917",502,"64,186","61,068",
VIC,3664,591,"24,805","30,194",593,"35,310","42,606",609,"35,125","42,931",614,"38,096","48,082",656,"37,252","47,429",
VIC,3665,204,"20,699","25,236",200,"31,255","38,781",205,"33,715","40,225",na,na,na,211,"34,589","43,570",
VIC,3666,"2,645","22,257","24,967","2,561","32,836","39,015","2,619","34,028","40,342","2,689","34,052","39,468","2,733","35,465","42,121",
VIC,3669,703,"20,809","25,507",727,"31,507","37,657",739,"31,756","38,629",736,"30,608","42,906",746,"32,492","39,245",
VIC,3670,347,"22,966","26,508",339,"31,882","39,063",325,"33,917","42,134",335,"34,165","40,949",331,"34,639","43,093",
VIC,3672,"5,648","25,466","28,546","5,357","35,503","41,523","5,316","36,092","42,480","5,345","36,860","43,800","5,385","38,126","45,110",
VIC,3673,"1,237","22,986","27,026","1,058","31,817","38,748","1,082","31,271","38,693","1,073","32,422","40,146","1,118","32,953","41,715",
VIC,3675,958,"22,534","25,607","1,125","34,173","40,143","1,115","35,795","42,161","1,099","35,948","41,899","1,134","36,398","43,153",
VIC,3676,na,na,na,na,na,na,na,na,na,na,na,na,220,"44,496","50,355",
VIC,3677,"9,635","26,213","29,245","9,581","37,883","44,327","9,603","39,072","45,135","9,693","39,685","45,579","9,771","40,558","46,818",
VIC,3678,"3,996","24,628","29,339","3,784","36,266","44,730","3,868","36,993","46,159","3,921","37,489","46,319","3,950","37,784","47,074",
VIC,3682,296,"25,357","28,561",339,"37,623","43,792",344,"40,120","47,446",340,"39,577","44,628",355,"40,355","44,098",
VIC,3683,988,"25,553","29,401",976,"39,821","43,156",975,"42,818","45,089","1,020","39,763","45,311","1,038","40,828","45,693",
VIC,3685,"1,759","27,955","31,975","1,628","37,950","44,432","1,630","39,909","48,411","1,659","39,364","45,388","1,682","39,827","45,897",
VIC,3687,510,"30,487","31,979",606,"40,460","48,537",576,"41,539","47,890",599,"42,949","50,040",610,"41,699","48,672",
VIC,3688,806,"29,590","32,573",777,"41,484","47,186",772,"41,367","47,910",817,"42,959","47,649",812,"42,329","49,493",
VIC,3690,"18,075","28,751","31,463","17,847","41,454","47,223","18,188","42,326","48,173","18,629","42,996","48,582","18,939","43,368","48,814",
VIC,3691,"3,468","28,578","32,540","5,118","42,492","49,831","5,435","44,157","51,819","5,651","44,949","53,110","5,933","45,615","53,980",
VIC,3695,282,"26,442","28,990",311,"30,098","39,395",321,"35,968","41,939",316,"36,959","42,286",313,"34,530","40,918",
VIC,3697,301,"19,859","28,278",307,"32,170","41,285",301,"32,244","41,713",316,"31,671","42,446",326,"31,847","41,593",
VIC,3698,436,"22,366","28,592",480,"34,788","43,190",493,"34,990","44,380",516,"33,829","43,137",523,"37,910","45,824",
VIC,3699,765,"20,486","25,003",649,"29,646","35,653",653,"32,204","38,840",647,"31,971","39,132",647,"31,938","39,435",
VIC,3700,"1,150","23,343","26,448",827,"35,844","40,323",814,"36,270","42,095",830,"37,619","43,347",851,"35,500","42,232",
VIC,3701,323,"19,405","22,449",598,"32,672","41,824",613,"34,061","41,736",629,"33,371","40,728",601,"34,029","41,910",
VIC,3707,"1,037","20,095","24,515","1,013","33,255","39,501",973,"34,108","42,058",981,"35,046","42,302","1,017","35,727","42,215",
VIC,3709,na,na,na,na,na,na,na,na,na,202,"31,474","39,217",na,na,na,
VIC,3711,252,"17,943","24,010",273,"31,015","38,799",294,"31,091","39,456",294,"33,970","40,570",304,"34,837","49,329",
VIC,3712,250,"21,659","23,225",201,"31,884","39,503",207,"35,900","41,766",201,"39,852","50,212",203,"39,411","46,948",
VIC,3713,560,"21,677","25,389",439,"29,671","35,101",439,"31,444","36,614",463,"32,787","37,812",474,"32,469","38,791",
VIC,3714,"2,101","23,881","27,389","1,975","33,380","40,090","1,974","33,020","42,529","1,988","34,844","45,061","2,032","36,658","50,147",
VIC,3717,"1,504","23,074","28,305","1,565","30,981","40,609","1,555","33,842","42,843","1,565","33,839","43,512","1,579","34,158","43,661",
VIC,3719,214,"20,682","25,344",234,"25,655","33,915",258,"28,269","36,448",252,"32,517","42,423",260,"33,167","46,485",
VIC,3720,308,"19,815","22,582",313,"29,422","37,877",305,"31,287","37,985",318,"33,736","43,049",311,"34,910","45,589",
VIC,3722,"2,989","22,458","26,590","2,882","33,126","41,090","2,939","33,545","42,404","2,970","34,451","43,686","3,031","36,626","44,599",
VIC,3723,851,"19,649","24,701","1,414","28,078","36,140","1,451","28,838","39,565","1,501","28,826","41,161","1,583","30,649","50,025",
VIC,3725,374,"20,639","25,134",345,"31,153","41,359",386,"30,392","41,098",356,"35,814","42,157",368,"35,495","41,882",
VIC,3726,276,"22,973","25,572",217,"30,414","36,538",221,"28,343","34,817",207,"26,610","32,335",207,"30,160","32,692",
VIC,3727,na,na,na,na,na,na,202,"29,429","33,376",203,"27,539","29,154",na,na,na,
VIC,3728,317,"19,935","23,969",317,"34,872","38,321",293,"35,629","40,521",316,"36,816","39,172",334,"33,703","37,004",
VIC,3730,"3,904","23,853","28,501","4,435","35,534","44,277","4,531","35,556","42,928","4,628","36,385","43,661","4,829","36,720","44,504",
VIC,3732,418,"20,910","24,734",359,"28,563","36,600",357,"29,753","38,755",349,"31,286","39,584",358,"30,650","38,748",
VIC,3735,439,"22,417","26,897",436,"31,164","38,198",417,"33,922","39,969",410,"35,767","40,797",426,"38,001","41,647",
VIC,3737,"2,874","25,235","27,778","2,461","34,850","40,641","2,488","35,539","41,737","2,535","36,645","42,404","2,569","36,911","43,344",
VIC,3740,586,"20,384","24,299",562,"35,845","40,545",591,"36,510","40,242",607,"33,993","42,013",648,"36,991","43,003",
VIC,3741,"1,814","21,891","25,820","1,832","31,543","39,827","1,859","31,966","40,738","1,897","34,116","42,125","1,928","35,075","42,937",
VIC,3744,223,"21,004","24,185",239,"26,463","37,298",247,"30,232","43,580",245,"31,062","39,991",248,"34,912","43,104",
VIC,3746,294,"22,989","26,153",209,"35,606","42,029",200,"36,506","46,126",na,na,na,201,"38,482","41,536",
VIC,3747,"2,602","24,346","28,996","2,554","36,329","44,417","2,601","37,801","45,173","2,693","38,015","45,932","2,708","38,191","46,178",
VIC,3749,"1,049","26,324","31,304","1,129","38,448","49,077","1,164","38,482","50,115","1,205","39,280","48,970","1,220","41,877","51,019",
VIC,3750,223,"25,808","47,772","2,723","45,598","48,573","3,685","44,293","48,716","4,685","44,543","48,166","5,801","44,381","49,701",
VIC,3752,"5,462","32,442","34,065","12,579","43,460","49,310","12,940","44,433","50,494","13,403","45,539","51,851","13,777","46,928","53,489",
VIC,3753,352,"27,777","33,831",925,"44,287","51,101","1,078","47,108","53,452","1,245","47,985","54,440","1,472","48,565","54,336",
VIC,3754,"1,533","32,156","41,420","16,274","46,853","52,563","18,002","46,838","52,799","20,297","47,454","53,538","22,467","48,076","54,200",
VIC,3756,"3,680","30,232","33,013","5,892","43,918","49,756","6,195","45,165","50,807","6,516","46,204","52,033","7,014","46,706","53,180",
VIC,3757,"4,472","29,092","32,608","4,657","40,391","49,532","4,806","41,811","50,663","4,898","43,132","51,466","5,056","44,601","53,821",
VIC,3758,"1,178","30,369","33,536","1,289","41,858","47,766","1,281","43,233","50,799","1,324","44,421","51,668","1,302","45,266","52,789",
VIC,3759,647,"28,077","37,944",663,"41,616","56,916",656,"42,802","58,407",658,"44,904","62,404",659,"47,440","65,125",
VIC,3760,268,"29,295","36,930",263,"40,419","51,345",274,"43,391","53,799",292,"45,178","55,903",291,"45,662","54,011",
VIC,3761,786,"29,671","40,436",677,"40,364","52,490",698,"39,060","50,615",708,"38,089","50,772",722,"40,021","52,151",
VIC,3763,"1,007","28,279","30,354",911,"40,042","45,173",902,"39,871","44,802",960,"39,567","46,428",965,"42,055","49,260",
VIC,3764,"3,390","28,067","32,555","4,337","40,822","48,906","4,480","42,032","50,882","4,776","44,022","52,381","5,005","44,711","52,385",
VIC,3765,"4,280","29,259","35,072","4,036","41,518","53,208","4,059","44,020","54,764","4,127","43,971","54,676","4,131","45,529","55,172",
VIC,3766,953,"27,866","34,004",783,"42,970","52,380",764,"41,316","50,057",776,"43,394","54,287",769,"41,231","54,747",
VIC,3767,741,"27,772","34,559",665,"37,500","49,207",674,"38,440","50,706",718,"40,075","53,346",697,"41,700","54,755",
VIC,3770,"2,004","28,291","32,992","1,866","42,094","60,594","1,891","43,219","64,955","1,984","43,140","63,958","1,972","43,615","59,709",
VIC,3775,"2,110","28,179","32,636","2,311","38,708","50,606","2,335","41,486","52,779","2,406","42,571","56,045","2,521","42,533","54,948",
VIC,3777,"5,771","24,299","28,272","5,725","37,405","45,407","5,810","38,480","46,542","5,891","38,910","47,583","6,047","39,595","48,149",
VIC,3779,390,"21,216","24,984",214,"25,365","31,372",233,"24,989","30,487",245,"25,932","29,203",273,"27,726","32,670",
VIC,3781,"2,500","28,101","31,105","2,378","41,801","48,575","2,429","43,119","51,307","2,442","43,609","53,857","2,513","45,739","52,089",
VIC,3782,"5,031","28,117","34,021","4,756","40,270","51,883","4,818","41,037","52,645","4,813","41,984","55,317","4,914","43,112","59,512",
VIC,3783,"1,080","25,562","30,795","1,261","39,638","48,139","1,297","42,125","50,727","1,313","43,236","51,370","1,376","43,396","53,187",
VIC,3786,950,"30,456","44,911",917,"44,102","57,525",949,"47,336","61,443",936,"44,801","60,178",932,"47,976","65,623",
VIC,3787,708,"29,586","35,256",641,"44,193","54,285",661,"43,338","55,306",674,"41,613","55,650",660,"47,510","59,539",
VIC,3788,"1,181","28,464","35,229","1,095","42,266","56,726","1,082","42,433","63,841","1,128","44,130","69,749","1,117","42,205","66,724",
VIC,3791,987,"28,367","35,674",902,"39,620","51,968",918,"40,406","53,986",948,"42,190","55,486",958,"43,182","70,234",
VIC,3792,720,"27,267","34,654",686,"40,022","50,592",688,"42,744","60,426",676,"43,663","57,182",687,"44,251","57,558",
VIC,3793,"2,245","24,552","30,227","2,036","37,573","44,544","2,051","37,850","46,229","2,104","39,357","49,458","2,062","39,974","49,305",
VIC,3795,859,"22,800","27,599",881,"36,640","47,229",883,"38,619","49,452",901,"41,465","51,158",895,"41,278","52,297",
VIC,3796,"5,481","27,879","30,789","5,461","41,341","47,557","5,602","41,642","48,614","5,667","43,224","50,381","5,780","43,253","51,756",
VIC,3797,"1,614","24,359","28,182","1,759","36,506","43,211","1,832","37,100","43,574","1,838","38,525","44,228","1,917","39,419","46,386",
VIC,3799,"3,029","23,562","26,438","2,858","35,271","39,934","2,868","35,950","41,070","2,987","37,933","43,105","3,004","38,393","44,126",
VIC,3802,"14,706","27,875","31,064","13,362","39,966","45,234","13,337","40,598","46,032","13,627","41,101","47,334","13,698","42,178","48,265",
VIC,3803,"5,530","28,700","30,680","5,444","38,661","43,107","5,416","38,852","43,854","5,547","39,449","44,511","5,633","40,310","46,316",
VIC,3804,"5,050","32,606","39,814","4,841","42,127","60,164","5,110","43,620","59,697","5,183","44,622","60,874","5,373","45,699","64,373",
VIC,3805,"25,919","31,384","33,480","29,357","41,553","46,935","29,996","42,473","47,775","30,999","42,954","49,281","31,648","43,614","49,466",
VIC,3806,"20,159","31,608","37,604","26,626","43,963","55,474","27,244","44,926","56,102","27,889","45,880","57,767","28,571","46,601","58,770",
VIC,3807,"3,031","31,279","36,180","4,209","44,675","57,251","4,268","45,350","58,469","4,459","46,018","59,567","4,529","47,360","61,156",
VIC,3808,"1,905","30,536","39,096","1,938","45,263","63,278","1,896","46,314","64,233","1,899","47,681","65,701","1,944","48,431","67,918",
VIC,3809,"1,235","29,563","36,264","2,465","45,711","52,576","3,395","46,514","51,859","4,263","48,787","53,814","5,603","50,265","56,936",
VIC,3810,"9,960","28,451","31,611","22,558","41,843","46,562","23,803","42,491","47,593","25,163","43,617","48,512","26,428","43,970","49,236",
VIC,3812,"1,465","28,853","31,418","1,454","38,520","48,697","1,495","40,253","48,665","1,513","39,985","50,303","1,551","40,875","51,077",
VIC,3813,553,"25,757","30,361",509,"36,848","44,992",510,"38,943","48,126",513,"39,561","115,581",531,"39,409","47,407",
VIC,3814,"1,142","25,170","29,086","1,253","37,587","43,930","1,249","38,351","47,280","1,304","39,897","47,774","1,364","41,327","48,573",
VIC,3815,"1,514","25,342","30,561","1,575","37,678","46,689","1,605","38,682","48,885","1,668","38,757","48,708","1,726","41,097","49,946",
VIC,3816,"1,054","22,601","27,116","1,372","36,994","44,120","1,439","38,046","43,928","1,469","38,632","43,644","1,539","39,118","45,744",
VIC,3818,"5,250","24,137","28,196","6,869","36,858","43,537","7,135","37,539","44,194","7,472","38,306","45,296","7,911","38,473","46,511",
VIC,3820,"7,974","25,279","30,548","8,798","37,346","47,624","9,001","38,277","48,954","9,394","38,859","49,844","9,730","40,180","51,564",
VIC,3821,"1,219","24,303","29,034","1,583","34,806","45,496","1,570","37,243","48,192","1,676","36,823","47,025","1,691","37,380","47,599",
VIC,3822,522,"25,736","29,679",550,"36,557","46,596",548,"41,558","49,287",560,"39,952","48,126",579,"39,236","49,270",
VIC,3823,870,"23,864","27,517","1,037","36,567","47,246","1,035","38,444","48,319","1,057","38,775","47,148","1,147","38,802","49,322",
VIC,3824,"2,268","24,771","29,258","2,663","39,762","50,399","2,682","40,514","51,251","2,772","39,846","51,251","2,877","40,653","50,824",
VIC,3825,"10,683","24,126","29,693","9,762","37,585","48,906","9,791","38,345","49,611","9,768","38,792","50,289","9,881","39,225","50,640",
VIC,3831,867,"21,899","28,336",915,"35,847","45,892",940,"36,613","45,861",973,"37,117","47,340","1,015","36,494","47,384",
VIC,3835,390,"26,332","34,351",348,"36,901","47,029",357,"33,422","45,378",341,"34,941","46,421",349,"35,843","49,998",
VIC,3840,"8,608","25,221","30,911","7,721","38,233","48,898","7,650","39,407","50,325","7,671","39,673","50,802","7,718","39,235","50,975",
VIC,3842,"2,381","24,698","30,164","2,218","38,906","49,495","2,153","39,205","50,744","2,196","39,548","50,250","2,204","39,774","51,940",
VIC,3844,"14,578","29,125","34,954","15,837","43,081","56,220","15,942","44,622","57,779","16,169","45,551","58,779","16,483","45,361","58,053",
VIC,3847,998,"23,558","28,135","1,080","37,290","45,423","1,107","39,260","48,188","1,142","39,754","47,754","1,161","38,293","45,780",
VIC,3850,"8,446","25,531","30,955","7,975","39,573","53,818","8,136","39,663","54,916","8,110","40,241","55,534","8,019","40,822","53,751",
VIC,3851,"1,995","20,857","26,276","2,233","35,914","51,063","2,339","36,527","50,898","2,415","34,883","49,052","2,463","36,185","49,002",
