suburb,medianSoldPrice,lowestSoldPrice,highestSoldPrice,medianRentListingPrice
Werrington Downs,625000,460000,795000,450
West Hoxton,771000,580000,1262000,545
West Pennant Hills,1451000,770000,20200000,695
West Pymble,1597000,720000,2200000,800
West Ryde,1295000,760000,2624000,600
Westleigh,1228000,895000,2036000,720
Westmead,880000,375000,2150000,480
Wetherill Park,740000,518000,1190000,490
Whalan,465000,345000,573000,340
Whale Beach,,2800000,8600000,1500
Wheeler Heights,1420000,1010000,2420000,900
Wilberforce,819000,600000,1570000,460
Wiley Park,750000,550000,1050000,445
Willmot,400000,358000,510000,313
Willoughby,2120000,787000,4065000,988
Willoughby East,2420000,1660000,4108000,1100
Windsor,669000,383000,1331000,420
Windsor Downs,,1520000,2380000,
Winston Hills,933000,675000,1450000,550
Wisemans Ferry,,590000,590000,
Wolli Creek,,,,
Wollstonecraft,1655000,1078000,5750000,930
Woodbine,620000,400000,910000,385
Woodcroft,700000,500000,950000,510
Woodpark,751000,510000,1236000,485
Woollahra,2903000,1235000,15250000,1495
Woolloomooloo,,1370000,1740000,755
Woolooware,1473000,670000,2410000,745
Woolwich,,2950000,11000000,
Woronora,1228000,755000,2360000,650
Woronora Heights,1040000,735000,1300000,
Yagoona,765000,200000,1560000,480
Yarramundi,,685000,1395000,
Yarrawarrah,960000,660000,1390000,
Yennora,,620000,780000,410
Yowie Bay,1738000,1005000,7390000,800
Zetland,,1150000,1940000,960
