id,name,latitude,longitude,morning_peak,afternoon_peak
10166,Kogarah Station,-33.96214931,151.1326415,7-9am,4-6.30pm
10167,Koolewong Station,-33.46697442,151.318655,6-8am,4-6.30pm
10168,Kootingal Station,-31.058730999999998,151.056154,No peak,No peak
10169,Kotara Station,-32.94139627,151.69849330000002,6-7.30am,4-6.30pm
10170,Kyogle Station,-28.620185,153.001284,No peak,No peak
10171,Lakemba Station,-33.92012699,151.0759555,7-9am,4-6.30pm
10172,Lapstone Station,-33.77369788,150.6427966,6-8am,4-6.30pm
10173,Lawson Station,-33.71914485,150.4298244,6-7.45am,4-6.30pm
10174,Leeton Station,-34.554328000000005,146.397659,No peak,No peak
10175,Leightonfield Station,-33.88150170000001,150.98496709999998,7-9am,4-6.30pm
10176,Leppington Station,-33.9544,150.8081,7-9am,4-6.30pm
10177,Leumeah Station,-34.051170500000005,150.8300507,7-9am,4-6.30pm
10178,Leura Station,-33.71172185,150.33027040000002,6-7.30am,4-6.30pm
10179,Lewisham Station,-33.89327853,151.1472725,7-9am,4-6.30pm
10180,Lidcombe Station,-33.86388935,151.0453895,7-9am,4-6.30pm
10181,Linden Station,-33.71500231,150.50526409999998,6-8am,4-6.30pm
10182,Lindfield Station,-33.77518546,151.16911059999998,7-9am,4-6.30pm
10183,Lisarow Station,-33.38231099,151.36981709999998,6-8am,4-6.30pm
10184,Lithgow Station,-33.48050099,150.1574494,6-6.45am,4-6.30pm
10185,Liverpool Station,-33.92510969,150.9270542,7-9am,4-6.30pm
10186,Lochinvar Station,-32.72072004,151.4490865,No peak,4-6.30pm
10187,Loftus Station,-34.04513834,151.05132,7-9am,4-6.30pm
10188,Lysaghts Station,-34.45484317,150.8760944,6-8am,4-6.30pm
10189,Macarthur Station,-34.07207332,150.7967371,7-9am,4-6.30pm
10190,Macdonaldtown Station,-33.89666002,151.1862916,7-9am,4-6.30pm
10191,Macksville Station,-30.709283000000003,152.913135,No peak,No peak
10192,Macquarie Fields Station,-33.98480719,150.8788965,7-9am,4-6.30pm
10193,Macquarie Park Station,-33.78501276,151.12864140000002,7-9am,4-6.30pm
10194,Macquarie University Station,-33.77741329,151.1181871,7-9am,4-6.30pm
10195,Maitland Station,-32.73803543,151.5520999,6-7am,4-6.30pm
10196,Marayong Station,-33.74645111,150.90019909999998,7-9am,4-6.30pm
10197,Marrickville Station,-33.91409037,151.1540328,7-9am,4-6.30pm
10198,Martin Place Station,-33.86787091,151.2115912,7-9am,4-6.30pm
10199,Martins Creek Station,-32.55868695,151.61850900000002,No peak,4-6.30pm
10200,Marulan Station,-34.70950062,150.00641919999998,6-7.30am,4-6.30pm
10201,Mascot Station,-33.92318797,151.1872531,7-9am,4-6.30pm
10202,Meadowbank Station,-33.81623815,151.09006090000003,7-9am,4-6.30pm
10203,Meadowbank Wharf,-33.82114791,151.0898782,No peak,No peak
10204,Medlow Bath Station,-33.67387612,150.2807859,6-7.30am,4-6.30pm
10205,Melbourne (Southern Cross) Station,-37.818426,144.952472,No peak,No peak
10206,Menangle Park Station,-34.1037012,150.7449558,6-8am,4-6.30pm
10207,Menangle Station,-34.12520137,150.74443069999998,6-8am,4-6.30pm
10208,Menindee Station,-32.389345,142.424697,No peak,No peak
10209,Merrylands Station,-33.836350200000005,150.9928633,7-9am,4-6.30pm
10210,Metford Station,-32.76487575,151.61786819999998,6-7am,4-6.30pm
10211,Millthorpe Station,-33.448714,149.182802,No peak,No peak
10212,Milsons Point Station,-33.84589277,151.211825,7-9am,4-6.30pm
10213,Milsons Point Wharf,-33.84939899,151.21063840000002,No peak,No peak
10214,Mindaribba Station,-32.66932312,151.5843137,No peak,4-6.30pm
10215,Minnamurra Station,-34.62569976,150.8522575,6-8am,4-6.30pm
10216,Minto Station,-34.02714972,150.8425967,7-9am,4-6.30pm
10217,Miranda Station,-34.03635478,151.10285349999998,7-9am,4-6.30pm
10218,Mittagong Station,-34.45270638,150.4476899,6-8am,4-6.30pm
10219,Moree Station,-29.473848999999998,149.848164,No peak,No peak
10220,Morisset Station,-33.10924629,151.48773390000002,6-8am,4-6.30pm
10221,Mortdale Station,-33.97058667,151.0812881,7-9am,4-6.30pm
10222,Moss Vale Station,-34.54795977,150.3719897,6-8am,4-6.30pm
10223,Mount Colah Station,-33.67202205,151.1144926,7-9am,4-6.30pm
10224,Mount Druitt Station,-33.76954233,150.8197988,7-9am,4-6.30pm
10225,Mount Kuring-gai Station,-33.65300164,151.13682230000003,7-9am,4-6.30pm
10226,Mount Victoria Station,-33.588111600000005,150.25697340000002,6-7.15am,4-6.30pm
10227,Mulgrave Station,-33.62668367,150.83063700000002,7-9am,4-6.30pm
10228,Murrurundi Station,-31.768428999999998,150.839451,No peak,No peak
10229,Museum Station,-33.87569985,151.2101064,7-9am,4-6.30pm
10230,Muswellbrook Station,-32.26749261,150.8903202,No peak,4-6.30pm
10231,Nambucca Heads Station,-30.629129,152.977472,No peak,No peak
10232,Narara Station,-33.39478578,151.34430790000002,6-8am,4-6.30pm
