suburb,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov,condition_23Nov,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov
Concord West,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Condell Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Connells Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Constitution Hill,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Coogee,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Cornwallis,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Cottage Point,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Cowan,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Cranebrook,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
Cremorne,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cremorne Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cromer,23.37,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Cronulla,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Crows Nest,33.46,Clear,31.81,Clear,31.41,Clear,30.62,Clouds,32.34,Clear
Croydon,19.83,Clouds,16.95,Clouds,18.53,Clouds,24.53,Clouds,15.57,Clear
Croydon Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cumberland Reach,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Curl Curl,22.9,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Currans Hill,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Currawong Beach,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
